211,战争之王,8.7
212,梦之安魂曲,8.8
213,悲惨世界,8.7
214,坠落的审判,8.7
215,共同警备区,8.9
216,弱点,8.7
217,横道世之介,8.8
218,东邪西毒,8.6
219,相助,8.9
220,奇迹男孩,8.6
221,英雄本色,8.6
222,青蛇,8.6
223,四百击,8.9
224,燃情岁月,8.7
225,血观音,8.6
226,童年往事,8.9
227,八恶人,8.7
228,黑天鹅,8.6
229,浪潮,8.7
230,贫民窟的百万富翁,8.6
231,精武英雄,8.7
232,谁先爱上他的,8.6
233,花束般的恋爱,8.6
234,阳光普照,8.6
235,波西米亚狂想曲,8.6
236,影武者,9.1
237,爆裂鼓手,8.6
238,切腹,9.4
239,洛城机密,8.8
240,帝国的毁灭,8.9
241,海边的曼彻斯特,8.6
242,刺猬的优雅,8.8
243,白日梦想家,8.6
244,廊桥遗梦,8.7
245,爱·回家,9.0
246,伴我同行,8.9
247,燃烧女子的肖像,8.7
248,卡萨布兰卡,8.7
249,暗战,8.6
250,朗读者,8.6
251,万箭穿心,8.6
252,天水围的日与夜,8.7
253,攻壳机动队2：无罪,9.1
254,比海更深,8.7
255,战场上的快乐圣诞,8.8
256,超感猎杀：完结特别篇,9.2
257,蝙蝠侠：侠影之谜,8.6
258,奇爱博士,8.9
259,猜火车,8.6
260,赎罪,8.6
261,落叶归根,8.6
262,伦敦一家人,8.9
263,蓝风筝,8.9
264,穿越时空的少女,8.6
265,发条橙,8.6
266,82年生的金智英,8.6
267,叫我第一名,8.7
268,坠入,8.8
269,女人，四十,8.9
270,大决战之辽沈战役,9.2
271,麦兜故事,8.6
272,E.T.外星人,8.6
273,你的名字。,8.5
274,神女,9.1
275,时时刻刻,8.7
276,恋恋风尘,8.7
277,蓝白红三部曲之红,8.8
278,复仇者联盟4：终局之战,8.5
279,燕尾蝶,8.7
280,初恋这件小事,8.5
281,阿飞正传,8.5
282,乱,8.9
283,撞车,8.6
284,1917,8.5
285,恐怖游轮,8.5
286,公民凯恩,8.8
287,荒岛余生,8.6
288,如父如子,8.7
289,熊出没之过年,8.9
290,金福南杀人事件始末,8.6
291,火星救援,8.5
292,真爱至上,8.5
293,小武,8.6
294,沙漠之花,8.8
295,困在时间里的父亲,8.6
296,误杀瞒天记,8.6
297,钢的琴,8.5
298,恋恋笔记本,8.5
299,洞,9.2
300,无言的山丘,9.2
301,独立时代,8.8
302,香水,8.5
303,大卫·戈尔的一生,8.6
304,胭脂扣,8.5
305,跳出我天地,8.8
306,家有喜事,8.5
307,网络谜踪,8.5
308,斯隆女士,8.8
309,角斗士,8.6
310,海盗电台,8.6
311,完美陌生人,8.5
312,小姐,8.5
313,红高粱,8.5
314,出租车司机,8.6
315,赌神,8.5
316,神探夏洛克：最后的誓言,9.0
317,阮玲玉,8.6
318,极速风流,8.7
319,土拨鼠之日,8.6
320,荒野生存,8.6
321,有话好好说,8.5
322,我能说,8.8
323,黄海,8.5
324,多哥,8.8
325,生之欲,9.3
326,我们天上见,8.7
327,至暗时刻,8.5
328,与狼共舞,8.9
329,梁祝,8.6
330,怪物,8.6
331,笑傲江湖2：东方不败,8.5
332,开心家族,8.6
333,这个男人来自地球,8.5
334,哪吒之魔童降世,8.4
335,寂静人生,9.0
336,光荣之路,9.1
337,美国丽人,8.5
338,我在伊朗长大,8.7
339,婚姻故事,8.5
340,风声,8.4
341,爱乐之城,8.4
342,无人区,8.4
343,隐入尘烟,8.4
344,尼罗河上的惨案,8.6
345,三毛从军记,8.6
346,亲爱的,8.4
347,卧虎藏龙,8.4
348,莫里斯,8.8
349,英国病人,8.5
350,楢山节考,9.0
351,月球,8.5
352,暖暖内含光,8.5
353,蓝色大门,8.4
354,东方快车谋杀案,8.6
355,敦刻尔克,8.4
356,十二公民,8.4
357,小城之春,8.7
358,自梳,8.7
359,极速车王,8.5
360,国王的演讲,8.4
361,再见列宁,8.8
362,蓝宇,8.4
363,大空头,8.5
364,桃姐,8.4
365,太阳照常升起,8.4
366,面子,8.8
367,大都会,9.1
368,一级恐惧,8.5
369,启示,8.7
370,中央车站,8.7
371,至爱梵高·星空之谜,8.5
372,岁月的童话,8.6
373,碧海蓝天,8.6
374,寻子遇仙记,9.2
375,小萝莉的猴神大叔,8.4
376,第九区,8.4
377,健听女孩,8.6
378,热天午后,8.7
379,不一样的天空,8.6
380,少年时代,8.5
381,穆赫兰道,8.4
382,她,8.4
383,阿郎的故事,8.5
384,全金属外壳,8.6
385,自闭历程,8.9
386,假如爱有天意,8.4
387,妇女参政论者,9.0
388,黑水,8.6
389,狼的孩子雨和雪,8.6
390,黑社会,8.4
391,费城故事,8.7
392,堕落天使,8.4
393,麻将,8.7
394,黄飞鸿,8.4
395,野草莓,8.8
396,花火,8.6
397,英雄本色2,8.4
398,走出非洲,8.7
399,驴得水,8.3
400,莫扎特传,8.7
401,秋天的童话,8.5
402,老无所依,8.4
403,西线无战事,8.5
404,奇迹,8.8
405,用心棒,9.0
406,金陵十三钗,8.3
407,天国王朝,8.6
408,孙子从美国来,8.5
409,烈日灼心,8.3
410,西游记之大圣归来,8.3
411,黑炮事件,8.7
412,登堂入室,8.5
413,哪啊哪啊神去村,8.5
414,万物理论,8.4
415,安妮·霍尔,8.6
416,椒麻堂会,8.6
417,卡罗尔,8.4
418,三峡好人,8.4
419,蝴蝶,8.6
420,雄狮少年,8.3
421,推手,8.4
422,天狗,8.8
423,年少日记,8.4
424,乡愁,9.1
425,盗钥匙的方法,8.5
426,阿Q正传,8.8
427,喋血双雄,8.5
428,阿黛尔的生活,8.4
429,比利·林恩的中场战事,8.3
430,哀乐中年,9.3
431,头脑特工队2,8.4
432,绿洲,8.7
433,精英部队2：大敌当前,8.7
434,追击者,8.4
435,秒速5厘米,8.3
436,监狱风云,8.4
437,芬奇,8.4
438,Hello！树先生,8.3
439,百鸟朝凤,8.3
440,南极大冒险,8.7
441,机器管家,8.6
442,坏孩子的天空,8.6
443,洛奇,8.8
444,银翼杀手2049,8.3
445,地雷区,8.7
446,天若有情,8.4
447,蓝白红三部曲之蓝,8.5
448,垫底辣妹,8.3
449,巴斯特·斯克鲁格斯的歌谣,8.5
450,孟买酒店,8.4
451,雾中风景,9.0
452,我的野蛮女友,8.3
453,嫌疑人X的献身,8.4
454,日落大道,8.8
455,那年夏天，宁静的海,8.6
456,从海底出击,9.1
457,天注定,8.3
458,金刚狼3：殊死一战,8.3
459,导盲犬小Q,8.5
460,鬼妈妈,8.4
461,卡比利亚之夜,9.1
462,最佳出价,8.4
463,思悼,8.5
464,老爷车,8.6
465,国际市场,8.6
